SR-CODE,NAME,Semester,Course,ILO1,ILO2,ILO3,ILO4
22-25094,Juan Garcia,7,Seminars and Fieldtrips,69.1,72.4,60.0,69.7
22-25094,Juan Garcia,7,Manufacturing and Quality Control,65.6,81.4,78.6,64.8
22-25094,Juan Garcia,7,Cognate/Elective Course 3 (Data Mining / AI Track),77.9,71.2,70.9,60.0
22-25094,Juan Garcia,7,ASEAN Literature,80.1,64.3,60.1,66.5
22-25094,Juan Garcia,8,Technopreneurship,75.1,75.7,67.2,78.6
22-25094,Juan Garcia,8,On-the-Job Training,77.4,75.5,72.2,73.3
22-25094,Juan Garcia,8,CpE Practice and Design 2,79.9,76.8,75.5,60.0
22-25416,Juan Castro,1,Introduction to Engineering,69.8,77.6,73.7,74.3
22-25416,Juan Castro,1,Understanding the Self,80.6,81.6,67.4,70.8
22-25416,Juan Castro,1,Mathematics in the Modern World,72.1,80.1,63.3,72.6
22-25416,Juan Castro,1,Readings in Philippine History,71.7,75.8,80.2,72.2
22-25416,Juan Castro,1,Purposive Communication,70.6,74.0,65.8,60.7
22-25416,Juan Castro,1,Differential Calculus,80.9,81.1,77.2,74.1
22-25416,Juan Castro,1,General Chemistry,80.1,76.1,68.1,67.9
22-25416,Juan Castro,1,Computer Programming 1,72.4,72.8,75.2,69.9
22-25416,Juan Castro,2,Engineering Drawing,98.0,70.5,74.6,62.8
22-25416,Juan Castro,2,Contemporary World,78.2,76.0,79.9,68.1
22-25416,Juan Castro,2,Art Appreciation,79.3,75.5,66.5,66.9
22-25416,Juan Castro,2,"Science, Technology and Society",78.2,78.5,78.2,69.4
22-25416,Juan Castro,2,Integral Calculus,78.6,67.4,77.8,66.4
22-25416,Juan Castro,2,Physics 1,84.6,85.6,73.4,64.4
22-25416,Juan Castro,3,Life and Works of Rizal,80.4,80.2,73.0,67.4
22-25416,Juan Castro,3,Ethics,83.9,81.1,72.8,60.9
22-25416,Juan Castro,3,Modern Biology,82.9,73.1,75.8,71.4
22-25416,Juan Castro,3,Computer Engineering as a Discipline,69.2,78.6,77.9,74.7
22-25416,Juan Castro,3,Programming Logic and Design,81.0,66.0,82.3,73.1
22-25416,Juan Castro,3,Discrete Mathematics,72.9,73.0,75.9,74.6
22-25416,Juan Castro,3,Fundamentals of Electrical Engineering,78.1,83.6,64.6,65.1
22-25416,Juan Castro,3,Computer-Aided Design,68.7,73.2,84.4,83.7
22-25416,Juan Castro,4,Engineering Economics,81.9,74.2,73.5,73.7
22-25416,Juan Castro,4,Engineering Data Analysis,70.8,74.3,83.1,64.3
22-25416,Juan Castro,4,Differential Equations,75.7,77.8,76.2,66.8
22-25416,Juan Castro,4,Object Oriented Programming,80.7,81.5,86.4,69.9
22-25416,Juan Castro,4,Advanced Engineering Mathematics for CpE,79.9,86.9,71.2,62.6
22-25416,Juan Castro,4,Cognate/Elective Course 1,81.8,84.3,76.8,70.1
22-25416,Juan Castro,4,Electronic Circuits: Devices and Analysis,72.4,78.3,82.8,63.9
22-25416,Juan Castro,4,Basic Occupational Health and Safety,79.0,75.8,70.7,72.3
22-25416,Juan Castro,4,Numerical Methods,82.8,80.3,68.7,60.7
22-25416,Juan Castro,4,Kontekstwalisadong Komunikasyon sa Filipino,82.1,75.0,85.9,82.1
22-25416,Juan Castro,5,Logic Circuits and Design,93.0,73.0,78.8,76.5
22-25416,Juan Castro,5,Data Structures and Algorithms,84.8,75.7,82.3,70.7
22-25416,Juan Castro,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",81.1,68.6,78.5,69.1
22-25416,Juan Castro,5,Fundamentals of Mixed Signals and Sensors,83.8,80.0,76.5,71.0
22-25416,Juan Castro,5,Feedback and Control Systems,84.9,76.5,65.8,73.9
22-25416,Juan Castro,5,Introduction to HDL,76.2,70.7,69.2,73.0
22-25416,Juan Castro,5,Research Methods,79.9,65.3,72.6,77.8
22-25416,Juan Castro,5,Filipino sa Iba't Ibang Disiplina,77.8,77.1,81.1,75.6
22-25416,Juan Castro,6,Microprocessors,87.2,62.0,85.8,75.1
22-25416,Juan Castro,6,Software Design,95.1,73.2,64.1,70.7
22-25416,Juan Castro,6,Routing and Switching (CISCO 2),78.6,81.8,81.1,70.1
22-25416,Juan Castro,6,Digital Signal Processing,78.7,80.9,73.0,68.5
22-25416,Juan Castro,6,Emerging Technologies in CpE,86.5,85.4,81.2,69.6
22-25416,Juan Castro,6,CpE Practice and Design 1,67.7,77.2,70.3,70.1
22-25416,Juan Castro,6,Cognate/Elective Course 2,76.3,77.7,68.4,63.0
22-25416,Juan Castro,7,Scaling Networks (CISCO 3),87.6,72.1,74.7,76.4
22-25416,Juan Castro,7,Operating Systems,85.8,82.6,76.5,75.0
22-25416,Juan Castro,7,Computer Architecture and Organization,89.3,81.2,64.4,68.2
22-25416,Juan Castro,7,Computer Engineering Drafting and Design,85.2,74.9,85.1,70.9
22-25416,Juan Castro,7,Connecting Networks and Security (CISCO 4),80.8,84.6,73.6,71.7
22-25416,Juan Castro,7,Embedded Systems,86.4,69.8,73.7,76.3
22-25416,Juan Castro,7,Seminars and Fieldtrips,80.9,86.9,65.4,60.7
22-25416,Juan Castro,7,Manufacturing and Quality Control,85.7,83.8,74.2,73.7
22-25416,Juan Castro,7,Cognate/Elective Course 3 (Data Mining / AI Track),84.8,73.0,70.4,71.8
22-25416,Juan Castro,7,ASEAN Literature,85.9,71.1,73.7,69.4
22-25416,Juan Castro,8,Technopreneurship,83.0,78.0,71.6,78.3
22-25416,Juan Castro,8,On-the-Job Training,77.3,76.3,65.3,66.6
22-25416,Juan Castro,8,CpE Practice and Design 2,83.6,80.0,78.5,74.1
22-21640,Elena Dela Cruz,1,Introduction to Engineering,93.3,73.9,65.4,64.8
22-21640,Elena Dela Cruz,1,Understanding the Self,76.6,72.5,75.7,78.6
22-21640,Elena Dela Cruz,1,Mathematics in the Modern World,88.3,79.8,86.4,67.5
22-21640,Elena Dela Cruz,1,Readings in Philippine History,71.0,84.7,64.1,66.6
22-21640,Elena Dela Cruz,1,Purposive Communication,83.9,77.8,74.0,64.0
22-21640,Elena Dela Cruz,1,Differential Calculus,79.0,82.7,73.7,64.6
22-21640,Elena Dela Cruz,1,General Chemistry,71.6,71.9,75.9,71.7
22-21640,Elena Dela Cruz,1,Computer Programming 1,76.7,65.8,78.4,66.4
22-21640,Elena Dela Cruz,2,Engineering Drawing,85.9,74.8,70.2,72.9
22-21640,Elena Dela Cruz,2,Contemporary World,95.0,82.9,76.0,73.3
22-21640,Elena Dela Cruz,2,Art Appreciation,70.3,71.7,60.1,81.5
22-21640,Elena Dela Cruz,2,"Science, Technology and Society",90.0,80.8,76.0,61.8
22-21640,Elena Dela Cruz,2,Integral Calculus,77.8,87.5,74.4,66.2
22-21640,Elena Dela Cruz,2,Physics 1,68.6,85.0,73.1,60.0
22-21640,Elena Dela Cruz,3,Life and Works of Rizal,75.3,70.7,74.4,72.4
22-21640,Elena Dela Cruz,3,Ethics,77.8,83.1,75.6,77.5
22-21640,Elena Dela Cruz,3,Modern Biology,77.0,95.0,70.2,64.2
22-21640,Elena Dela Cruz,3,Computer Engineering as a Discipline,74.7,77.1,64.8,72.9
22-21640,Elena Dela Cruz,3,Programming Logic and Design,70.1,80.1,67.7,69.5
22-21640,Elena Dela Cruz,3,Discrete Mathematics,82.7,90.6,67.1,68.7
22-21640,Elena Dela Cruz,3,Fundamentals of Electrical Engineering,77.5,74.1,71.8,76.9
22-21640,Elena Dela Cruz,3,Computer-Aided Design,78.9,92.8,78.6,65.9
22-21640,Elena Dela Cruz,4,Engineering Economics,78.6,73.6,80.0,61.3
22-21640,Elena Dela Cruz,4,Engineering Data Analysis,71.1,73.2,77.7,77.0
22-21640,Elena Dela Cruz,4,Differential Equations,87.4,79.9,73.1,74.4
22-21640,Elena Dela Cruz,4,Object Oriented Programming,74.7,68.0,78.5,65.7
22-21640,Elena Dela Cruz,4,Advanced Engineering Mathematics for CpE,78.7,77.4,75.1,75.2
22-21640,Elena Dela Cruz,4,Cognate/Elective Course 1,86.5,80.3,73.2,72.4
22-21640,Elena Dela Cruz,4,Electronic Circuits: Devices and Analysis,78.2,78.2,91.8,73.1
22-21640,Elena Dela Cruz,4,Basic Occupational Health and Safety,83.5,74.2,81.3,75.7
22-21640,Elena Dela Cruz,4,Numerical Methods,83.7,78.0,79.8,77.2
22-21640,Elena Dela Cruz,4,Kontekstwalisadong Komunikasyon sa Filipino,82.5,77.7,80.5,65.7
22-21640,Elena Dela Cruz,5,Logic Circuits and Design,77.5,79.0,65.6,77.0
22-21640,Elena Dela Cruz,5,Data Structures and Algorithms,75.8,76.3,74.6,72.0
22-21640,Elena Dela Cruz,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",79.5,78.7,75.5,69.1
22-21640,Elena Dela Cruz,5,Fundamentals of Mixed Signals and Sensors,77.2,85.8,63.5,70.8
22-21640,Elena Dela Cruz,5,Feedback and Control Systems,76.3,79.2,64.8,66.6
22-21640,Elena Dela Cruz,5,Introduction to HDL,81.2,85.8,78.1,64.9
22-21640,Elena Dela Cruz,5,Research Methods,77.9,83.7,68.0,70.6
22-21640,Elena Dela Cruz,5,Filipino sa Iba't Ibang Disiplina,80.8,76.1,91.3,68.6
22-21640,Elena Dela Cruz,6,Microprocessors,84.5,74.8,79.2,77.2
22-21640,Elena Dela Cruz,6,Software Design,78.0,78.8,70.5,64.9
22-21640,Elena Dela Cruz,6,Routing and Switching (CISCO 2),87.8,75.8,61.4,82.4
22-21640,Elena Dela Cruz,6,Digital Signal Processing,74.3,75.2,83.4,68.8
22-21640,Elena Dela Cruz,6,Emerging Technologies in CpE,80.6,71.7,66.0,70.8
22-21640,Elena Dela Cruz,6,CpE Practice and Design 1,83.0,80.2,72.3,71.2
22-21640,Elena Dela Cruz,6,Cognate/Elective Course 2,70.5,81.9,76.8,83.6
22-21640,Elena Dela Cruz,7,Scaling Networks (CISCO 3),81.6,73.4,75.5,69.8
22-21640,Elena Dela Cruz,7,Operating Systems,84.2,79.3,68.3,62.0
22-21640,Elena Dela Cruz,7,Computer Architecture and Organization,83.4,87.7,76.6,76.9
22-21640,Elena Dela Cruz,7,Computer Engineering Drafting and Design,87.9,81.0,71.2,73.2
22-21640,Elena Dela Cruz,7,Connecting Networks and Security (CISCO 4),88.8,82.3,80.3,69.0
22-21640,Elena Dela Cruz,7,Embedded Systems,80.6,78.6,75.8,79.0
22-21640,Elena Dela Cruz,7,Seminars and Fieldtrips,66.7,78.6,74.7,62.9
22-21640,Elena Dela Cruz,7,Manufacturing and Quality Control,85.8,75.0,73.9,83.1
22-21640,Elena Dela Cruz,7,Cognate/Elective Course 3 (Data Mining / AI Track),87.6,82.6,78.1,70.8
22-21640,Elena Dela Cruz,7,ASEAN Literature,92.8,83.2,70.7,62.7
22-21640,Elena Dela Cruz,8,Technopreneurship,84.2,78.1,66.6,73.7
22-21640,Elena Dela Cruz,8,On-the-Job Training,79.2,81.6,77.8,67.5
22-21640,Elena Dela Cruz,8,CpE Practice and Design 2,84.6,75.4,72.6,67.9
22-60844,Gabriel Ramos,1,Introduction to Engineering,86.8,76.0,82.7,81.2
22-60844,Gabriel Ramos,1,Understanding the Self,75.6,60.1,80.7,68.4
22-60844,Gabriel Ramos,1,Mathematics in the Modern World,75.3,74.5,72.4,78.6
22-60844,Gabriel Ramos,1,Readings in Philippine History,81.0,85.4,77.4,68.6
22-60844,Gabriel Ramos,1,Purposive Communication,77.7,81.0,79.4,76.4
22-60844,Gabriel Ramos,1,Differential Calculus,78.9,79.1,78.3,68.5
22-60844,Gabriel Ramos,1,General Chemistry,73.7,73.2,73.4,74.8
22-60844,Gabriel Ramos,1,Computer Programming 1,90.2,72.1,73.3,70.6
22-60844,Gabriel Ramos,2,Engineering Drawing,81.8,71.5,69.0,60.0
22-60844,Gabriel Ramos,2,Contemporary World,83.0,76.7,70.5,68.9
22-60844,Gabriel Ramos,2,Art Appreciation,86.8,71.6,69.4,78.0
22-60844,Gabriel Ramos,2,"Science, Technology and Society",80.5,81.7,76.9,70.2
22-60844,Gabriel Ramos,2,Integral Calculus,78.4,83.0,81.8,77.3
22-60844,Gabriel Ramos,2,Physics 1,73.4,85.9,72.7,66.3
22-60844,Gabriel Ramos,3,Life and Works of Rizal,79.0,82.6,77.7,68.9
22-60844,Gabriel Ramos,3,Ethics,85.1,78.5,71.0,66.2
22-60844,Gabriel Ramos,3,Modern Biology,82.9,77.6,66.6,75.9
22-60844,Gabriel Ramos,3,Computer Engineering as a Discipline,77.2,87.2,66.0,69.4
22-60844,Gabriel Ramos,3,Programming Logic and Design,78.5,74.4,74.0,83.4
22-60844,Gabriel Ramos,3,Discrete Mathematics,81.3,73.3,63.9,60.5
22-60844,Gabriel Ramos,3,Fundamentals of Electrical Engineering,73.8,70.9,70.3,60.0
22-60844,Gabriel Ramos,3,Computer-Aided Design,76.5,80.9,81.4,60.0
22-60844,Gabriel Ramos,4,Engineering Economics,75.2,72.5,75.3,63.1
22-60844,Gabriel Ramos,4,Engineering Data Analysis,90.6,78.3,74.1,80.4
22-60844,Gabriel Ramos,4,Differential Equations,80.4,80.5,70.3,62.6
22-60844,Gabriel Ramos,4,Object Oriented Programming,79.0,93.3,80.7,74.4
22-60844,Gabriel Ramos,4,Advanced Engineering Mathematics for CpE,74.6,83.5,66.7,61.4
22-60844,Gabriel Ramos,4,Cognate/Elective Course 1,79.3,91.9,88.3,70.1
22-60844,Gabriel Ramos,4,Electronic Circuits: Devices and Analysis,73.0,64.9,72.1,68.7
22-60844,Gabriel Ramos,4,Basic Occupational Health and Safety,84.8,83.1,73.3,73.8
22-60844,Gabriel Ramos,4,Numerical Methods,76.3,81.3,71.8,73.6
22-60844,Gabriel Ramos,4,Kontekstwalisadong Komunikasyon sa Filipino,82.3,78.1,79.2,61.0
22-60844,Gabriel Ramos,5,Logic Circuits and Design,70.6,73.1,63.0,65.3
22-60844,Gabriel Ramos,5,Data Structures and Algorithms,80.4,88.1,77.8,78.9
22-60844,Gabriel Ramos,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",84.5,77.0,77.7,77.1
22-60844,Gabriel Ramos,5,Fundamentals of Mixed Signals and Sensors,84.2,73.9,61.7,60.0
22-60844,Gabriel Ramos,5,Feedback and Control Systems,78.5,64.0,85.6,74.4
22-60844,Gabriel Ramos,5,Introduction to HDL,73.2,68.0,77.8,61.1
22-60844,Gabriel Ramos,5,Research Methods,73.9,73.1,75.1,74.2
22-60844,Gabriel Ramos,5,Filipino sa Iba't Ibang Disiplina,87.2,83.9,74.5,76.6
22-60844,Gabriel Ramos,6,Microprocessors,73.0,63.8,67.6,62.9
22-60844,Gabriel Ramos,6,Software Design,78.9,74.4,74.1,76.5
22-60844,Gabriel Ramos,6,Routing and Switching (CISCO 2),93.0,69.9,69.2,68.0
22-60844,Gabriel Ramos,6,Digital Signal Processing,85.1,76.8,70.5,75.1
22-60844,Gabriel Ramos,6,Emerging Technologies in CpE,88.4,80.1,72.0,74.4
22-60844,Gabriel Ramos,6,CpE Practice and Design 1,78.7,76.2,71.4,76.0
22-60844,Gabriel Ramos,6,Cognate/Elective Course 2,84.2,86.4,84.9,75.5
22-60844,Gabriel Ramos,7,Scaling Networks (CISCO 3),79.6,86.4,79.7,88.4
22-60844,Gabriel Ramos,7,Operating Systems,84.5,84.4,78.6,72.2
22-60844,Gabriel Ramos,7,Computer Architecture and Organization,75.5,76.5,74.7,74.7
22-60844,Gabriel Ramos,7,Computer Engineering Drafting and Design,78.9,71.9,69.7,60.0
22-60844,Gabriel Ramos,7,Connecting Networks and Security (CISCO 4),92.7,77.0,82.7,74.4
22-60844,Gabriel Ramos,7,Embedded Systems,78.8,74.0,66.9,62.0
22-60844,Gabriel Ramos,7,Seminars and Fieldtrips,90.4,78.3,81.2,78.8
22-60844,Gabriel Ramos,7,Manufacturing and Quality Control,74.5,77.2,71.9,60.8
22-60844,Gabriel Ramos,7,Cognate/Elective Course 3 (Data Mining / AI Track),81.6,83.7,73.9,70.8
22-60844,Gabriel Ramos,7,ASEAN Literature,79.0,90.3,63.4,73.5
22-60844,Gabriel Ramos,8,Technopreneurship,78.5,73.8,72.8,74.5
22-60844,Gabriel Ramos,8,On-the-Job Training,84.4,78.8,81.0,78.1
22-60844,Gabriel Ramos,8,CpE Practice and Design 2,85.0,74.4,77.4,73.4
22-10706,Alex Castro,1,Introduction to Engineering,71.2,64.4,60.0,67.4
22-10706,Alex Castro,1,Understanding the Self,77.9,66.7,77.1,67.9
22-10706,Alex Castro,1,Mathematics in the Modern World,83.9,75.7,64.1,69.4
22-10706,Alex Castro,1,Readings in Philippine History,80.1,70.5,62.1,67.6
22-10706,Alex Castro,1,Purposive Communication,70.1,80.5,68.3,77.3
22-10706,Alex Castro,1,Differential Calculus,63.0,74.3,79.0,61.3
22-10706,Alex Castro,1,General Chemistry,74.8,71.1,66.4,68.1
22-10706,Alex Castro,1,Computer Programming 1,67.8,72.6,73.3,65.2
22-10706,Alex Castro,2,Engineering Drawing,71.0,80.9,76.0,61.5
22-10706,Alex Castro,2,Contemporary World,68.3,68.1,74.1,68.6
22-10706,Alex Castro,2,Art Appreciation,80.8,71.9,65.2,72.5
22-10706,Alex Castro,2,"Science, Technology and Society",72.8,74.9,61.5,63.6
22-10706,Alex Castro,2,Integral Calculus,81.8,69.2,75.3,60.0
22-10706,Alex Castro,2,Physics 1,72.4,72.5,80.9,60.0
22-10706,Alex Castro,3,Life and Works of Rizal,80.1,80.2,66.5,64.7
22-10706,Alex Castro,3,Ethics,77.0,64.9,68.0,74.6
22-10706,Alex Castro,3,Modern Biology,78.9,72.5,71.1,70.2
22-10706,Alex Castro,3,Computer Engineering as a Discipline,80.7,70.5,80.0,74.9
22-10706,Alex Castro,3,Programming Logic and Design,79.6,68.2,64.1,64.5
22-10706,Alex Castro,3,Discrete Mathematics,76.1,62.9,73.4,74.4
22-10706,Alex Castro,3,Fundamentals of Electrical Engineering,80.5,70.7,66.9,69.6
22-10706,Alex Castro,3,Computer-Aided Design,76.1,77.4,75.3,74.3
22-10706,Alex Castro,4,Engineering Economics,69.3,75.2,68.6,66.4
22-10706,Alex Castro,4,Engineering Data Analysis,80.9,79.3,78.8,69.2
22-10706,Alex Castro,4,Differential Equations,75.1,72.0,60.0,74.7
22-10706,Alex Castro,4,Object Oriented Programming,73.6,76.3,74.3,60.0
22-10706,Alex Castro,4,Advanced Engineering Mathematics for CpE,70.2,82.8,72.2,63.2
22-10706,Alex Castro,4,Cognate/Elective Course 1,74.8,79.8,75.8,60.0
22-10706,Alex Castro,4,Electronic Circuits: Devices and Analysis,86.8,80.5,70.7,60.6
22-10706,Alex Castro,4,Basic Occupational Health and Safety,82.4,76.7,62.0,65.6
22-10706,Alex Castro,4,Numerical Methods,94.5,73.6,66.0,60.6
22-10706,Alex Castro,4,Kontekstwalisadong Komunikasyon sa Filipino,86.7,78.9,79.2,68.5
22-10706,Alex Castro,5,Logic Circuits and Design,84.6,69.6,72.6,69.5
22-10706,Alex Castro,5,Data Structures and Algorithms,83.8,75.2,66.5,66.8
22-10706,Alex Castro,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",65.5,60.0,75.2,64.2
22-10706,Alex Castro,5,Fundamentals of Mixed Signals and Sensors,75.5,79.7,80.0,71.0
22-10706,Alex Castro,5,Feedback and Control Systems,87.3,76.5,72.3,68.1
22-10706,Alex Castro,5,Introduction to HDL,69.3,80.5,60.0,64.3
22-10706,Alex Castro,5,Research Methods,76.2,69.1,68.1,78.0
22-10706,Alex Castro,5,Filipino sa Iba't Ibang Disiplina,82.7,69.7,68.0,60.0
22-10706,Alex Castro,6,Microprocessors,81.3,73.2,60.0,68.4
22-10706,Alex Castro,6,Software Design,78.2,79.0,69.8,64.2
22-10706,Alex Castro,6,Routing and Switching (CISCO 2),87.4,73.3,74.6,63.2
22-10706,Alex Castro,6,Digital Signal Processing,79.9,64.8,67.7,60.0
22-10706,Alex Castro,6,Emerging Technologies in CpE,71.9,80.8,66.6,70.8
22-10706,Alex Castro,6,CpE Practice and Design 1,85.2,73.7,76.7,70.2
22-10706,Alex Castro,6,Cognate/Elective Course 2,76.2,77.8,81.3,62.6
22-10706,Alex Castro,7,Scaling Networks (CISCO 3),69.8,67.2,76.2,73.2
22-10706,Alex Castro,7,Operating Systems,72.3,60.4,66.2,69.8
22-10706,Alex Castro,7,Computer Architecture and Organization,76.6,75.8,68.5,73.9
22-10706,Alex Castro,7,Computer Engineering Drafting and Design,79.1,78.2,72.6,70.9
22-10706,Alex Castro,7,Connecting Networks and Security (CISCO 4),78.3,67.7,72.5,71.2
22-10706,Alex Castro,7,Embedded Systems,84.0,77.2,65.9,62.9
22-10706,Alex Castro,7,Seminars and Fieldtrips,73.5,75.0,70.0,60.2
22-10706,Alex Castro,7,Manufacturing and Quality Control,70.3,62.1,60.0,67.0
22-10706,Alex Castro,7,Cognate/Elective Course 3 (Data Mining / AI Track),89.4,84.0,64.4,67.4
22-10706,Alex Castro,7,ASEAN Literature,67.3,66.0,63.6,65.6
22-10706,Alex Castro,8,Technopreneurship,75.0,75.3,74.8,65.0
22-10706,Alex Castro,8,On-the-Job Training,76.3,67.3,62.7,60.0
22-10706,Alex Castro,8,CpE Practice and Design 2,80.0,71.8,60.0,66.6
22-61518,Andres Dela Cruz,1,Introduction to Engineering,72.9,87.9,71.3,74.8
22-61518,Andres Dela Cruz,1,Understanding the Self,86.9,72.3,75.2,74.1
22-61518,Andres Dela Cruz,1,Mathematics in the Modern World,82.1,81.1,67.7,74.9
22-61518,Andres Dela Cruz,1,Readings in Philippine History,77.5,80.1,80.3,74.8
22-61518,Andres Dela Cruz,1,Purposive Communication,82.5,81.8,78.9,79.7
22-61518,Andres Dela Cruz,1,Differential Calculus,81.2,79.9,81.3,68.7
22-61518,Andres Dela Cruz,1,General Chemistry,73.4,81.9,74.4,64.4
22-61518,Andres Dela Cruz,1,Computer Programming 1,83.1,86.3,64.7,76.6
22-61518,Andres Dela Cruz,2,Engineering Drawing,64.5,74.9,85.2,68.2
22-61518,Andres Dela Cruz,2,Contemporary World,80.9,82.6,64.5,71.2
22-61518,Andres Dela Cruz,2,Art Appreciation,80.8,89.2,67.4,68.5
22-61518,Andres Dela Cruz,2,"Science, Technology and Society",74.8,71.8,81.5,70.9
22-61518,Andres Dela Cruz,2,Integral Calculus,78.0,75.8,72.3,68.8
22-61518,Andres Dela Cruz,2,Physics 1,73.8,77.4,73.5,67.1
22-61518,Andres Dela Cruz,3,Life and Works of Rizal,81.3,79.4,71.4,69.9
22-61518,Andres Dela Cruz,3,Ethics,93.3,90.7,68.4,65.3
22-61518,Andres Dela Cruz,3,Modern Biology,75.0,85.3,73.3,73.0
22-61518,Andres Dela Cruz,3,Computer Engineering as a Discipline,92.4,77.9,79.0,73.9
22-61518,Andres Dela Cruz,3,Programming Logic and Design,76.5,84.0,69.4,78.5
22-61518,Andres Dela Cruz,3,Discrete Mathematics,77.8,76.1,69.1,66.1
22-61518,Andres Dela Cruz,3,Fundamentals of Electrical Engineering,77.2,62.8,72.8,67.1
22-61518,Andres Dela Cruz,3,Computer-Aided Design,84.5,79.9,69.9,67.4
22-61518,Andres Dela Cruz,4,Engineering Economics,79.0,86.9,69.8,66.4
22-61518,Andres Dela Cruz,4,Engineering Data Analysis,74.6,70.0,77.5,72.8
22-61518,Andres Dela Cruz,4,Differential Equations,89.1,85.2,90.1,71.2
22-61518,Andres Dela Cruz,4,Object Oriented Programming,78.5,69.9,78.7,71.2
22-61518,Andres Dela Cruz,4,Advanced Engineering Mathematics for CpE,85.3,72.1,77.8,72.8
22-61518,Andres Dela Cruz,4,Cognate/Elective Course 1,80.9,73.6,81.6,82.8
22-61518,Andres Dela Cruz,4,Electronic Circuits: Devices and Analysis,73.1,81.7,60.0,74.2
22-61518,Andres Dela Cruz,4,Basic Occupational Health and Safety,69.2,74.8,66.9,69.5
22-61518,Andres Dela Cruz,4,Numerical Methods,86.4,67.8,73.5,68.5
22-61518,Andres Dela Cruz,4,Kontekstwalisadong Komunikasyon sa Filipino,89.9,80.6,67.7,67.9
22-61518,Andres Dela Cruz,5,Logic Circuits and Design,89.1,81.6,68.6,68.6
22-61518,Andres Dela Cruz,5,Data Structures and Algorithms,78.7,74.4,64.2,66.4
22-61518,Andres Dela Cruz,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",88.4,75.4,73.9,71.3
22-61518,Andres Dela Cruz,5,Fundamentals of Mixed Signals and Sensors,93.0,77.4,80.7,66.6
22-61518,Andres Dela Cruz,5,Feedback and Control Systems,79.8,79.0,71.0,70.4
22-61518,Andres Dela Cruz,5,Introduction to HDL,85.1,72.5,74.2,74.4
22-61518,Andres Dela Cruz,5,Research Methods,75.4,84.6,75.2,69.8
22-61518,Andres Dela Cruz,5,Filipino sa Iba't Ibang Disiplina,68.3,75.7,77.0,81.2
22-61518,Andres Dela Cruz,6,Microprocessors,83.1,84.1,66.9,69.4
22-61518,Andres Dela Cruz,6,Software Design,87.4,72.3,80.3,74.9
22-61518,Andres Dela Cruz,6,Routing and Switching (CISCO 2),81.7,75.7,68.6,81.1
22-61518,Andres Dela Cruz,6,Digital Signal Processing,85.2,81.0,73.2,71.8
22-61518,Andres Dela Cruz,6,Emerging Technologies in CpE,81.1,80.1,78.9,65.8
22-61518,Andres Dela Cruz,6,CpE Practice and Design 1,71.6,78.5,64.3,68.8
22-61518,Andres Dela Cruz,6,Cognate/Elective Course 2,77.0,80.6,86.4,60.0
22-61518,Andres Dela Cruz,7,Scaling Networks (CISCO 3),93.7,76.3,76.6,62.0
22-61518,Andres Dela Cruz,7,Operating Systems,86.1,77.9,74.1,60.0
22-61518,Andres Dela Cruz,7,Computer Architecture and Organization,80.2,82.4,72.7,77.2
22-61518,Andres Dela Cruz,7,Computer Engineering Drafting and Design,86.5,73.5,83.7,70.4
22-61518,Andres Dela Cruz,7,Connecting Networks and Security (CISCO 4),80.4,78.3,74.9,60.0
22-61518,Andres Dela Cruz,7,Embedded Systems,78.6,69.2,83.9,79.7
22-61518,Andres Dela Cruz,7,Seminars and Fieldtrips,85.5,76.6,68.7,66.8
22-61518,Andres Dela Cruz,7,Manufacturing and Quality Control,91.4,73.2,60.0,76.3
22-61518,Andres Dela Cruz,7,Cognate/Elective Course 3 (Data Mining / AI Track),89.1,87.6,80.7,77.7
22-61518,Andres Dela Cruz,7,ASEAN Literature,80.7,65.5,74.9,74.5
22-61518,Andres Dela Cruz,8,Technopreneurship,79.6,76.9,69.0,64.7
22-61518,Andres Dela Cruz,8,On-the-Job Training,91.4,89.2,74.8,72.4
22-61518,Andres Dela Cruz,8,CpE Practice and Design 2,74.5,81.8,85.3,61.6
22-52833,Isabel Mendoza,1,Introduction to Engineering,79.9,78.0,74.8,77.7
22-52833,Isabel Mendoza,1,Understanding the Self,89.3,73.4,75.7,68.3
22-52833,Isabel Mendoza,1,Mathematics in the Modern World,76.2,79.2,78.4,71.7
22-52833,Isabel Mendoza,1,Readings in Philippine History,71.8,72.0,68.9,62.8
22-52833,Isabel Mendoza,1,Purposive Communication,78.9,77.3,77.5,62.7
22-52833,Isabel Mendoza,1,Differential Calculus,76.5,86.9,73.4,70.6
22-52833,Isabel Mendoza,1,General Chemistry,78.9,84.4,81.4,77.0
22-52833,Isabel Mendoza,1,Computer Programming 1,74.9,67.3,81.1,70.9
22-52833,Isabel Mendoza,2,Engineering Drawing,73.7,82.7,67.9,75.8
22-52833,Isabel Mendoza,2,Contemporary World,85.9,69.2,75.2,72.5
22-52833,Isabel Mendoza,2,Art Appreciation,92.8,70.3,80.3,67.9
22-52833,Isabel Mendoza,2,"Science, Technology and Society",69.6,74.0,71.7,61.5
